TEST_MODE=gray
================================================================
ESP32 grayscale sensor real-time monitor
Motors are not initialized in this mode.
Threshold: raw <= 2000 -> black=1, white=0
================================================================
gray_sample,sample,channel,pin,raw,voltage,black
ADC_INIT,adc1,27,ok
ADC_INIT,adc2,33,ok
ADC_INIT,adc3,32,ok
ADC_INIT,adc4,35,ok
ADC_INIT,adc5,34,ok
GRAY_SAMPLE,1,adc1,27,1629,1.4321,1
GRAY_SAMPLE,1,adc2,33,1403,1.2334,1
GRAY_SAMPLE,1,adc3,32,1387,1.2193,1
GRAY_SAMPLE,1,adc4,35,1454,1.2782,1
GRAY_SAMPLE,1,adc5,34,1655,1.4549,1
GRAY_STATE,1,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,2,adc1,27,1631,1.4338,1
GRAY_SAMPLE,2,adc2,33,1406,1.2360,1
GRAY_SAMPLE,2,adc3,32,1383,1.2158,1
GRAY_SAMPLE,2,adc4,35,1456,1.2800,1
GRAY_SAMPLE,2,adc5,34,1654,1.4541,1
GRAY_STATE,2,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,3,adc1,27,1631,1.4338,1
GRAY_SAMPLE,3,adc2,33,1405,1.2352,1
GRAY_SAMPLE,3,adc3,32,1387,1.2193,1
GRAY_SAMPLE,3,adc4,35,1456,1.2800,1
GRAY_SAMPLE,3,adc5,34,1654,1.4541,1
GRAY_STATE,3,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,4,adc1,27,1631,1.4338,1
GRAY_SAMPLE,4,adc2,33,1405,1.2352,1
GRAY_SAMPLE,4,adc3,32,1383,1.2158,1
GRAY_SAMPLE,4,adc4,35,1455,1.2791,1
GRAY_SAMPLE,4,adc5,34,1653,1.4532,1
GRAY_STATE,4,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,5,adc1,27,1631,1.4338,1
GRAY_SAMPLE,5,adc2,33,1404,1.2343,1
GRAY_SAMPLE,5,adc3,32,1386,1.2185,1
GRAY_SAMPLE,5,adc4,35,1455,1.2791,1
GRAY_SAMPLE,5,adc5,34,1654,1.4541,1
GRAY_STATE,5,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,6,adc1,27,1630,1.4330,1
GRAY_SAMPLE,6,adc2,33,1405,1.2352,1
GRAY_SAMPLE,6,adc3,32,1383,1.2158,1
GRAY_SAMPLE,6,adc4,35,1454,1.2782,1
GRAY_SAMPLE,6,adc5,34,1654,1.4541,1
GRAY_STATE,6,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,7,adc1,27,1629,1.4321,1
GRAY_SAMPLE,7,adc2,33,1406,1.2360,1
GRAY_SAMPLE,7,adc3,32,1386,1.2185,1
GRAY_SAMPLE,7,adc4,35,1453,1.2774,1
GRAY_SAMPLE,7,adc5,34,1654,1.4541,1
GRAY_STATE,7,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,8,adc1,27,1629,1.4321,1
GRAY_SAMPLE,8,adc2,33,1406,1.2360,1
GRAY_SAMPLE,8,adc3,32,1385,1.2176,1
GRAY_SAMPLE,8,adc4,35,1455,1.2791,1
GRAY_SAMPLE,8,adc5,34,1654,1.4541,1
GRAY_STATE,8,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,9,adc1,27,1630,1.4330,1
GRAY_SAMPLE,9,adc2,33,1403,1.2334,1
GRAY_SAMPLE,9,adc3,32,1386,1.2185,1
GRAY_SAMPLE,9,adc4,35,1454,1.2782,1
GRAY_SAMPLE,9,adc5,34,1654,1.4541,1
GRAY_STATE,9,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,10,adc1,27,1631,1.4338,1
GRAY_SAMPLE,10,adc2,33,1405,1.2352,1
GRAY_SAMPLE,10,adc3,32,1386,1.2185,1
GRAY_SAMPLE,10,adc4,35,1455,1.2791,1
GRAY_SAMPLE,10,adc5,34,1654,1.4541,1
GRAY_STATE,10,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,11,adc1,27,1631,1.4338,1
GRAY_SAMPLE,11,adc2,33,1405,1.2352,1
GRAY_SAMPLE,11,adc3,32,1387,1.2193,1
GRAY_SAMPLE,11,adc4,35,1454,1.2782,1
GRAY_SAMPLE,11,adc5,34,1654,1.4541,1
GRAY_STATE,11,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,12,adc1,27,1629,1.4321,1
GRAY_SAMPLE,12,adc2,33,1406,1.2360,1
GRAY_SAMPLE,12,adc3,32,1386,1.2185,1
GRAY_SAMPLE,12,adc4,35,1454,1.2782,1
GRAY_SAMPLE,12,adc5,34,1655,1.4549,1
GRAY_STATE,12,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,13,adc1,27,1631,1.4338,1
GRAY_SAMPLE,13,adc2,33,1405,1.2352,1
GRAY_SAMPLE,13,adc3,32,1383,1.2158,1
GRAY_SAMPLE,13,adc4,35,1455,1.2791,1
GRAY_SAMPLE,13,adc5,34,1655,1.4549,1
GRAY_STATE,13,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,14,adc1,27,1631,1.4338,1
GRAY_SAMPLE,14,adc2,33,1403,1.2334,1
GRAY_SAMPLE,14,adc3,32,1385,1.2176,1
GRAY_SAMPLE,14,adc4,35,1454,1.2782,1
GRAY_SAMPLE,14,adc5,34,1655,1.4549,1
GRAY_STATE,14,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,15,adc1,27,1631,1.4338,1
GRAY_SAMPLE,15,adc2,33,1406,1.2360,1
GRAY_SAMPLE,15,adc3,32,1387,1.2193,1
GRAY_SAMPLE,15,adc4,35,1455,1.2791,1
GRAY_SAMPLE,15,adc5,34,1655,1.4549,1
GRAY_STATE,15,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,16,adc1,27,1632,1.4347,1
GRAY_SAMPLE,16,adc2,33,1404,1.2343,1
GRAY_SAMPLE,16,adc3,32,1383,1.2158,1
GRAY_SAMPLE,16,adc4,35,1454,1.2782,1
GRAY_SAMPLE,16,adc5,34,1654,1.4541,1
GRAY_STATE,16,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,17,adc1,27,1630,1.4330,1
GRAY_SAMPLE,17,adc2,33,1405,1.2352,1
GRAY_SAMPLE,17,adc3,32,1387,1.2193,1
GRAY_SAMPLE,17,adc4,35,1456,1.2800,1
GRAY_SAMPLE,17,adc5,34,1655,1.4549,1
GRAY_STATE,17,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,18,adc1,27,1630,1.4330,1
GRAY_SAMPLE,18,adc2,33,1406,1.2360,1
GRAY_SAMPLE,18,adc3,32,1387,1.2193,1
GRAY_SAMPLE,18,adc4,35,1455,1.2791,1
GRAY_SAMPLE,18,adc5,34,1655,1.4549,1
GRAY_STATE,18,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,19,adc1,27,1631,1.4338,1
GRAY_SAMPLE,19,adc2,33,1406,1.2360,1
GRAY_SAMPLE,19,adc3,32,1386,1.2185,1
GRAY_SAMPLE,19,adc4,35,1454,1.2782,1
GRAY_SAMPLE,19,adc5,34,1654,1.4541,1
GRAY_STATE,19,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,20,adc1,27,1629,1.4321,1
GRAY_SAMPLE,20,adc2,33,1403,1.2334,1
GRAY_SAMPLE,20,adc3,32,1385,1.2176,1
GRAY_SAMPLE,20,adc4,35,1453,1.2774,1
GRAY_SAMPLE,20,adc5,34,1653,1.4532,1
GRAY_STATE,20,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,21,adc1,27,1630,1.4330,1
GRAY_SAMPLE,21,adc2,33,1404,1.2343,1
GRAY_SAMPLE,21,adc3,32,1386,1.2185,1
GRAY_SAMPLE,21,adc4,35,1455,1.2791,1
GRAY_SAMPLE,21,adc5,34,1653,1.4532,1
GRAY_STATE,21,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,22,adc1,27,1630,1.4330,1
GRAY_SAMPLE,22,adc2,33,1404,1.2343,1
GRAY_SAMPLE,22,adc3,32,1386,1.2185,1
GRAY_SAMPLE,22,adc4,35,1453,1.2774,1
GRAY_SAMPLE,22,adc5,34,1655,1.4549,1
GRAY_STATE,22,adc1=1,adc2=1,adc3=1,adc4=1,adc5=1
GRAY_SAMPLE,23,adc1,27,1631,1.4338,1
GRAY_SAMPLE,23,adc2,33,1402,1.2325,1
GRAY_SAMPLE,23,adc3,32,1385,1.2176,1
GRAY_SAMPLE,23,adc4,35,1453,1.2774,1
GRAY_SAMPLE,23,adc5,34,1655,1.4549,1
