TEST_MODE=uart_recv
================================================================
UART receive debug - monitoring S3CAM attitude frames
RX=GPIO22 TX=GPIO23 baud=115200
Format: UART_RECV,seq,pitch,roll,yaw
Packet loss: UART_LOST,start,end
================================================================
UART(2) ready.

UART_RECV,2,-0.01,0.00,-0.00
UART_RECV,3,-0.01,0.00,-0.00
UART_RECV,4,-0.02,0.01,-0.00
UART_RECV,5,-0.02,-0.01,-0.00
UART_RECV,6,-0.02,-0.01,-0.00
UART_RECV,7,-0.03,-0.00,-0.00
UART_RECV,8,-0.03,0.01,-0.00
UART_RECV,9,-0.02,0.01,-0.00
UART_RECV,10,-0.02,0.01,-0.00
UART_RECV,11,-0.01,0.04,0.00
UART_RECV,12,-0.01,0.04,0.00
UART_RECV,13,0.00,0.02,0.00
UART_RECV,14,-0.01,0.01,0.01
UART_RECV,15,0.01,0.01,0.01
UART_RECV,16,0.02,0.02,0.01
UART_RECV,17,0.02,0.01,0.00
UART_RECV,18,0.02,0.02,0.00
UART_RECV,19,0.03,0.01,0.00
UART_RECV,21,0.04,0.00,0.01
UART_LOST,20
UART_RECV,22,0.05,0.00,0.00
UART_RECV,23,0.03,0.00,0.00
UART_RECV,24,0.03,-0.01,0.00
UART_RECV,25,0.02,-0.01,0.01
UART_RECV,26,0.03,-0.01,0.01
UART_RECV,27,0.03,-0.02,0.01
UART_RECV,28,0.04,-0.01,0.01
UART_RECV,29,0.02,-0.02,0.01
UART_RECV,30,0.01,-0.02,0.01
UART_RECV,31,-0.01,-0.02,0.01
UART_RECV,32,0.00,-0.03,0.01
UART_RECV,33,-0.01,-0.02,0.01
UART_RECV,34,-0.01,-0.02,0.01
UART_RECV,35,-0.01,-0.01,0.01
UART_RECV,36,-0.02,-0.03,0.01
UART_RECV,37,-0.02,-0.05,0.01
UART_RECV,38,-0.03,-0.05,0.01
UART_RECV,40,-0.04,-0.04,0.02
UART_LOST,39
UART_RECV,41,-0.04,-0.03,0.01
UART_RECV,42,-0.04,-0.03,0.02
UART_RECV,43,-0.04,-0.03,0.02
UART_RECV,44,-0.04,-0.02,0.02
UART_RECV,45,-0.04,-0.01,0.02
UART_RECV,46,-0.03,-0.02,0.02
UART_RECV,47,-0.02,-0.02,0.02
UART_RECV,48,-0.02,-0.02,0.02
UART_RECV,49,-0.01,-0.01,0.02
UART_RECV,50,-0.01,-0.01,0.02
UART_RECV,52,-0.01,-0.00,0.01
UART_LOST,51
UART_RECV,53,-0.02,-0.01,0.01
